Time order,Open nodes,Algorithm
0.038872242,212,DFS
0.01896286,104,DFS
0.023938656,100,DFS
0.090743542,285,DFS
0.022964716,91,DFS
0.035903931,182,DFS
0.063841581,297,DFS
0.122664452,412,DFS
0.029918194,173,DFS
0.010942698,57,DFS
0.007979631,42,DFS
0.032910585,138,DFS
0.063829184,273,DFS
0.025932074,128,DFS
0.070796967,235,DFS
0.051817656,214,DFS
0.044501185,,
